npi id,first name,last name,Gender,State,Specialisation,Bio
1124034285,David,Drake,M,CA,"Gastroenterology_29261,Internal Medicine_29277","Dr. Drake graduated from Stanford University and the University of Arizona. He started practice in Long Beach in 1982. He has served as a clinical professor with UCLA and UCI since completing fellowship. The last six years he was Chief of the Gastroenterology Section and presently is the Chief of Medicine at Long Beach Memorial Medical Center. 

Dr. Drake joined LB Gastroenterology Consultants in 2000, a group of 6 physicians, specializing in adult digestive diseases, such as difficulty swallowing, GERD, ulcers, H pylori, liver disease, colitis and cancers of the GI tract, among many others. Colon cancer screening, colonoscopy and endoscopy are provided. He attends at the Memorial Medical Center and the outpatient Long Beach Endoscopy Center. 



Board Certified: Gastroenterology & Internal Medicine"
1518320456,Emma,Tkach,F,CA,"Critical Care Medicine_29237,Internal Medicine_29277","Dr. Tkach graduated from the 1 Lekarska Fakulta Univerzity Karlovy in 2012. She works in Fresno, CA and specializes in Critical Care Medicine and Internal Medicine."
1396023685,Romana,Uher,F,CA,"Neonatology_29279,Pediatrics_29307,Obstetrics & Gynecology_29285","Dr. Uher graduated from the 2 Lekarska Fakulta Univerzity Karlovy in 1991. She works in Oceanside, CA and 2 other locations and specializes in Neonatology, Pediatrics and Obstetrics & Gynecology. Dr. Uher is affiliated with Tri City Medical Center."
1710374954,Emily,Ottiniano,F,CA,Psychiatry_29314,"Dr. Ottiniano graduated from the A T Still University College of Osteopathic Medicine in 2014. She works in Los Angeles, CA and 1 other location and specializes in Psychiatry."
1760975833,Nha,Truong,F,CA,Family Medicine_29259,"Dr. Truong graduated from the A T Still University College of Osteopathic Medicine in 2018. She works in San Diego, CA and 2 other locations and specializes in Family Medicine."
1639581986,Hanh,Nguyen,F,CA,"Emergency Medicine_29256,Family Medicine_29259","Dr. Nguyen graduated from the A T Still University College of Osteopathic Medicine in 2014. She works in San Diego, CA and 1 other location and specializes in Emergency Medicine and Family Medicine."
1386935914,Janelle,Pieros,F,CA,Family Medicine_29259,"Dr. Pieros graduated from the A T Still University College of Osteopathic Medicine in 2011. She works in Chula Vista, CA and 2 other locations and specializes in Family Medicine. Dr. Pieros is affiliated with Scripps Memorial Hospital La Jolla."
1023465382,Kristin,Mangalindan,F,CA,Internal Medicine_29277,"Dr. Mangalindan graduated from the A T Still University College of Osteopathic Medicine in 2016. She works in San Diego, CA and specializes in Internal Medicine."
1669714143,Mohammad,Naqvi,M,CA,Internal Medicine_29277,"Dr. Naqvi graduated from the A T Still University College of Osteopathic Medicine in 2013. He works in San Diego, CA and 2 other locations and specializes in Internal Medicine."
1487995866,Kenneth,Hammonds,M,CA,"Other_29297,Family Medicine_29259","Dr. Hammonds graduated from the A T Still University College of Osteopathic Medicine in 2013. He works in SAN FRANCISCO, CA and specializes in Other Specialty and Family Medicine."
